created_at;id_str;full_text;retweet_count;favorite_count
20191029 122501;1189156179173433344;The Do Nothing Democrats are working hard to make everyone forget the Best Economy Ever, the monumental weekend raid, Tax Cuts, the Rebuilding of our Military, etc. The Impeachment Hoax is a disgrace. Read the transcript!;17832;70087
20191029 121923;1189154764359196672;Wheres the Whistleblower? Just read the Transcript, everything else is made up garbage by Shifty Schiff and the Never Trumpers!;18791;79437
20191029 114807;1189146892292313088;A great book by a great guy. Get it now! .cohwFtbpbIO0;8995;38042
20191029 114436;1189146007310913536;Correct, a total scam! .coklpmeAwm03;9648;38784
20191029 114213;1189145407361814528;Why are people that I never even heard of testifying about the call. Just READ THE CALL TRANSCRIPT AND THE IMPEACHMENT HOAX IS OVER! Ukrain said NO PRESSURE. .coVYmW8bYcgS;13618;51158
20191029 040605;1189030619755495425;This is a big win for America, and also for President Trump. @nypost;10588;54757
20191029 035804;1189028602052042752;The only crimes in the Impeachment Hoax were committed by Shifty Adam Schiff, when he totally made up my phone conversation with the Ukrainian President and read it to Congress, together with numerous others on Shiftys side. Schiff should be Impeached, and worse!;22154;95960
20191029 035028;1189026689860489216;There is no underlying crime in that transcript. @IngrahamAngle  100 correct, and the Whistleblower disappeared after I released the transcript of the call. Where is the Whistleblower? That is why this is now called the Impeachment Hoax! The Do Nothing Dems are Doing Nothing!;17149;68363
20191029 033848;1189023754912964608;Americans know by now that the Impeachment inquiry is just another hoax and silent coup to remove the President from office. J.J. Crovatto  Dont worry J.J., Schiff is a leaker amp corrupt politician who made up what I said on the call in order to hurt the Republican Party amp me!;18173;77826
20191028 212232;1188929062611361792;Can you believe that Shifty Adam Schiff, the biggest leaker in D.C., and a corrupt politician, is upset that we didnt inform him before we raided and killed the #1 terrorist in the WORLD!? Wouldnt be surprised if the Do Nothing Democrats Impeach me over that! DRAIN THE SWAMP!!;38586;161638
20191028 203610;1188917392761479168;So nice, thank you! .coUjgDeHSK7C;16680;73930
20191028 200256;1188909031403900928;We have declassified a picture of the wonderful dog name not declassified that did such a GREAT JOB in capturing and killing the Leader of ISIS, Abu Bakr alBaghdadi! .coPDMx9nZWvw;131258;572878
20191028 165900;1188862744067481603;An AMAZING CHAMPION. Great going Tiger! @TigerWoods .coGdmcpMG42s;9463;51510
20191028 165409;1188861523655045124;THANK YOU #IACP2019! .coiUr5OpgT7X;11956;46457
20191028 134134;1188813055108374533;The SampP just hit an ALL TIME HIGH. This is a big win for jobs, 401Ks, and, frankly, EVERYONE! Our Country is doing great. Even killed long sought ISIS murderer, AlBaghdadi. We are stronger than ever before, with GREAT upward potential. Enjoy!;31758;144513
20191027 212455;1188567275391127552;Thank you to @MarthaRaddatz and @TerryMoran for a job well done! .comcHjqX1K2L;21687;90075
20191027 162512;1188491847271931911;.co7esnNSoa5D;36407;169887
20191027 143133;1188463248670109696;.coyJ0VKdNxHP;26034;96164
